variable,original_export_column,survey_part,item_number,response_type,measurement_level,notes
participant,Participant,Metadata,,identifier,identifier,Anonymous respondent identifier retained to verify that all 187 responses remain present.
q01_formal_structure,Does your organization have well defined formal organizational structure and business processes?,Knowledge management and willingness to share knowledge within the organization,1,single choice,ordinal,Response categories indicate increasing formalization: No; To some level; Yes.
q02_lessons_learned,"In your organization, after project is completed, you are doing formal analysis of the project (lessons learned)?",Knowledge management and willingness to share knowledge within the organization,2,single choice,ordinal,Response categories indicate frequency or institutionalization of lessons-learned practice.
q03_solution_source,"If you need an advice or a help with some work tasks, you usually try to find solution using:",Knowledge management and willingness to share knowledge within the organization,3,multiple choice,nominal multi-response,Analyzed both as exported text and as binary option indicators in q03 multi-select summary.
q04_knowledge_base,Do you use an internal Knowledge Base system that allows you to find specific knowledge and/or information that you need in your work?,Knowledge management and willingness to share knowledge within the organization,4,single choice,ordinal,Includes absence of system as a substantively meaningful category.
q05_expert_finder,Do you use such an internal system that allows you to find a colleague who has the specific knowledge you need in your job?,Knowledge management and willingness to share knowledge within the organization,5,single choice,ordinal,Includes absence of system as a substantively meaningful category.
q06_project_knowledge,Do you use such an internal system that allows you to find information about projects where certain specific knowledge was used?,Knowledge management and willingness to share knowledge within the organization,6,single choice,ordinal,Includes absence of system as a substantively meaningful category.
q07_hidden_knowledge_exists,"Do you think that in your organization there is certain amount of hidden knowledge or knowledge that is not used, and should be?",Knowledge management and willingness to share knowledge within the organization,7,single choice,binary nominal,Core hidden-knowledge awareness item.
q08_knowledge_utilization,"According to your estimation, what is the utilization of the total capacity of internal knowledge within your organization?",Knowledge management and willingness to share knowledge within the organization,8,single choice,ordinal,Ordered utilization bands from completely unutilized to fully utilized.
q09_hidden_knowledge_value,"According to your estimation, what is the level of economic value of hidden internal knowledge within your organization?",Knowledge management and willingness to share knowledge within the organization,9,single choice,ordinal,Ordered perceived economic value from very low to very large.
q10_fear_of_sharing,Do you think that there is a fear of knowledge sharing in your organization?,Knowledge management and willingness to share knowledge within the organization,10,single choice,ordinal,Ordered perception of fear of sharing from no to yes.
q11_share_with_colleagues,You acquired some new knowledge or competence in your field of work. Would you share your newly acquired knowledge with your colleagues?,Knowledge management and willingness to share knowledge within the organization,11,single choice,ordinal,Conditional sharing is treated as an intermediate willingness category in composite coding.
q12_share_with_management,You acquired some new knowledge that could improve your organization business values. Would you share your newly acquired knowledge with the management?,Knowledge management and willingness to share knowledge within the organization,12,single choice,ordinal,Conditional sharing is treated as an intermediate willingness category in composite coding.
q13_personality_similarity,Do you find it more comfortable to work with colleagues who are closer to you in terms of personality?,Influence of personality types on organizational processes,13,single choice,nominal/ordinal,Used as a personality-related preference variable; neutral response is distinct from yes/no.
q14_extrovert_self_assessment,Do you consider yourself an extrovert?,Influence of personality types on organizational processes,14,single choice,nominal,Self-assessment with non-disclosure option.
q15_prior_personality_test,"Have you ever taken a personality assessment test like Big Five, Truity, DiSC, MBTI, etc. for any purpose?",Influence of personality types on organizational processes,15,single choice,binary nominal,Prior experience with personality assessment.
q16_personality_test_willingness,Your organization plans to conduct a personality assessment test for all employees. Would you agree to participate in the test?,Influence of personality types on organizational processes,16,single choice,ordinal,No; conditional yes; yes.
q17_profile_use_consent,"In order to improve operations and achieve better business results, your organization plans to use employee personality profiles in its daily work. Would you consent to the organization using your personality profile for this purpose?",Willingness to apply Artificial Intelligence within the organization,17,single choice,ordinal,No; conditional yes; yes.
q18_ai_helpfulness,Do you think that AI can help you with your daily basis working tasks in any way?,Willingness to apply Artificial Intelligence within the organization,18,single choice,ordinal,No; up to a certain level yes; yes.
q19_ai_internal_channel_analysis,"If AI could help you with your work, would you agree to AI analyze your interactions on internal official communication channels on a daily basis for this purpose?",Willingness to apply Artificial Intelligence within the organization,19,single choice,ordinal,Consent for AI analysis of internal communication.
q20_ai_public_profile_analysis,"If AI could help you with your work, would you agree to AI analyze your publicly available profiles on social networks for this purpose?",Willingness to apply Artificial Intelligence within the organization,20,single choice,ordinal,Consent for AI analysis of public social profiles.
q21_ai_work_content_analysis,Would you allow AI to analyze your work and the content generated as a result of your work to help other colleagues in their work?,Willingness to apply Artificial Intelligence within the organization,21,single choice,ordinal,Consent for AI analysis of work outputs.
q22_gender,Mark your gender,General participant information,22,single choice,nominal,Demographic descriptor.
q23_age_group,Mark which age group you belong to,General participant information,23,single choice,ordinal,Age bands.
q24_organization_size,Indicate the size of the organization in which you work (according to the number of employees)?,General participant information,24,single choice,ordinal,Organization-size bands.
q25_tenure,How long have you worked in the organization you work for?,General participant information,25,single choice,ordinal,Tenure bands.
q26_education,Choose the level of your formal education,General participant information,26,single choice,ordinal,Ordered education level.
q27_decision_level,Your decision-making level in the organization you work for,General participant information,27,single choice,ordinal,Low; Medium; High.
