Participant_ID,Persona,Form_Version,Aligned_Count,Generic_Count,Total_Scenarios,Aligned_Rate,Final_Preference,Mean_Aligned_Score,Mean_Generic_Score,Difference_Score,Overall_Preference,Preferred_Aligned
P001,STJ,A,6,0,6,1.0,Aligned,4.583333333,3.083333333,1.5,Structured/personalized responses,1
P002,STJ,A,0,6,6,0.0,Generic,3.125,2.541666667,0.583333333,Structured/personalized responses,0
P003,STJ,A,6,0,6,1.0,Aligned,5.0,3.0,2.0,No preference,1
P004,STJ,A,5,1,6,0.833333333,Aligned,4.416666667,2.875,1.541666667,Generic responses,1
P005,STJ,A,5,1,6,0.833333333,Aligned,4.416666667,3.875,0.541666667,Generic responses,1
P006,STJ,A,4,2,6,0.666666667,Aligned,4.416666667,4.875,-0.458333333,Structured/personalized responses,1
P007,STJ,A,6,0,6,1.0,Aligned,5.0,2.916666667,2.083333333,Structured/personalized responses,1
P008,STJ,A,6,0,6,1.0,Aligned,4.916666667,3.25,1.666666667,Generic responses,1
P009,STJ,A,6,0,6,1.0,Aligned,5.0,3.958333333,1.041666667,Structured/personalized responses,1
P010,STJ,A,6,0,6,1.0,Aligned,4.875,3.416666667,1.458333333,No preference,1
P011,STJ,A,6,0,6,1.0,Aligned,5.0,3.375,1.625,Structured/personalized responses,1
P012,STJ,A,6,0,6,1.0,Aligned,4.916666667,3.541666667,1.375,Structured/personalized responses,1
P013,STJ,A,5,1,6,0.833333333,Aligned,4.333333333,3.208333333,1.125,Structured/personalized responses,1
P014,STJ,A,3,3,6,0.5,Generic,4.5,4.5,0.0,No preference,0
P015,STJ,A,2,4,6,0.333333333,Generic,3.666666667,3.791666667,-0.125,Generic responses,0
P016,NTP,A,2,4,6,0.333333333,Generic,3.916666667,4.25,-0.333333333,Structured/personalized responses,0
P017,NTP,A,6,0,6,1.0,Aligned,4.875,3.416666667,1.458333333,No preference,1
P018,NTP,A,6,0,6,1.0,Aligned,5.0,3.375,1.625,Structured/personalized responses,1
P019,NTP,A,6,0,6,1.0,Aligned,4.916666667,3.541666667,1.375,Structured/personalized responses,1
P020,NTP,A,5,1,6,0.833333333,Aligned,4.333333333,3.208333333,1.125,Structured/personalized responses,1
P021,NFJ,A,2,4,6,0.333333333,Generic,2.375,2.458333333,-0.083333333,Structured/personalized responses,0
P022,NFJ,A,4,2,6,0.666666667,Aligned,4.708333333,4.583333333,0.125,Structured/personalized responses,1
P023,SFP,A,6,0,6,1.0,Aligned,3.208333333,3.166666667,0.041666667,Generic responses,1
P024,SFP,A,3,3,6,0.5,Generic,4.25,4.416666667,-0.166666667,No preference,0
P025,STJ,B,3,3,6,0.5,Generic,4.375,4.166666667,0.208333333,Structured/personalized responses,0
P026,STJ,B,6,0,6,1.0,Aligned,5.0,2.791666667,2.208333333,Structured/personalized responses,1
P027,STJ,B,5,1,6,0.833333333,Aligned,4.5,3.75,0.75,No preference,1
P028,STJ,B,4,2,6,0.666666667,Aligned,4.458333333,4.166666667,0.291666667,Structured/personalized responses,1
P029,STJ,B,3,3,6,0.5,Generic,3.0,1.875,1.125,Structured/personalized responses,0
P030,STJ,B,6,0,6,1.0,Aligned,5.0,2.5,2.5,Structured/personalized responses,1
P031,STJ,B,6,0,6,1.0,Aligned,5.0,3.0,2.0,Structured/personalized responses,1
P032,NTP,B,3,3,6,0.5,Generic,4.458333333,4.666666667,-0.208333333,Structured/personalized responses,0
P033,NTP,B,3,3,6,0.5,Generic,4.416666667,4.041666667,0.375,No preference,0
P034,NFJ,B,6,0,6,1.0,Aligned,4.208333333,3.75,0.458333333,Structured/personalized responses,1
P035,NFJ,B,6,0,6,1.0,Aligned,3.333333333,1.666666667,1.666666667,No preference,1
P036,NFJ,B,4,2,6,0.666666667,Aligned,4.5,4.083333333,0.416666667,Structured/personalized responses,1
P037,SFP,B,1,5,6,0.166666667,Generic,3.458333333,4.916666667,-1.458333333,Structured/personalized responses,0
P038,SFP,B,3,3,6,0.5,Generic,3.083333333,1.875,1.208333333,Structured/personalized responses,0
P039,SFP,B,6,0,6,1.0,Aligned,4.916666667,2.708333333,2.208333333,Structured/personalized responses,1
P040,SFP,B,5,1,6,0.833333333,Aligned,4.958333333,3.083333333,1.875,Structured/personalized responses,1
P041,NTP,B,6,0,6,1.0,Aligned,4.916666667,3.541666667,1.375,Generic responses,1
P042,NTP,B,5,1,6,0.833333333,Aligned,4.333333333,3.208333333,1.125,No preference,1
P043,NFJ,B,2,4,6,0.333333333,Generic,2.375,2.458333333,-0.083333333,Structured/personalized responses,0
P044,NTP,B,5,1,6,0.833333333,Aligned,4.375,4.166666667,0.208333333,Structured/personalized responses,1
P045,NTP,B,6,0,6,1.0,Aligned,5.0,2.791666667,2.208333333,Structured/personalized responses,1
P046,NTP,B,5,1,6,0.833333333,Aligned,4.5,3.75,0.75,No preference,1
P047,SFP,B,5,1,6,0.833333333,Aligned,4.458333333,4.166666667,0.291666667,Structured/personalized responses,1
P048,SFP,B,4,2,6,0.666666667,Aligned,3.125,1.958333333,1.166666667,Generic responses,1
P049,SFP,B,6,0,6,1.0,Aligned,4.875,2.458333333,2.416666667,Structured/personalized responses,1
P050,SFP,B,6,0,6,1.0,Aligned,4.875,2.916666667,1.958333333,Structured/personalized responses,1
P051,NFJ,B,3,3,6,0.5,Generic,4.416666667,4.041666667,0.375,No preference,0
P052,NFJ,B,5,1,6,0.833333333,Aligned,4.208333333,3.75,0.458333333,Structured/personalized responses,1
P053,NFJ,B,6,0,6,1.0,Aligned,3.333333333,1.666666667,1.666666667,No preference,1
P054,SFP,B,4,2,6,0.666666667,Aligned,4.416666667,4.0,0.416666667,Structured/personalized responses,1
P055,NFJ,B,1,5,6,0.166666667,Generic,3.333333333,4.791666667,-1.458333333,Structured/personalized responses,0
P056,NFJ,B,4,2,6,0.666666667,Aligned,3.125,1.875,1.25,Generic responses,1
P057,NFJ,B,6,0,6,1.0,Aligned,4.666666667,2.625,2.041666667,Structured/personalized responses,1
