Metric,Matched_Mean,Mismatched_Mean,Mean_Difference,t_stat,p_value,Cohens_d,CI95_Low,CI95_High,p_value_FDR,Significant_FDR
Mean_Ease,4.508720930232558,4.108108108108108,0.40061282212445004,2.60363138233044,0.011250038401955511,0.5921177783940842,0.0937455858781086,0.7074800583707914,0.02025006912351992,True
Mean_Helpfulness,4.468023255813954,4.02027027027027,0.4477529855436835,3.194390977933874,0.0020297140187873213,0.7136264794474395,0.16865230152596594,0.726853669561401,0.007917316950810651,True
Mean_Trust,4.453488372093023,4.135135135135135,0.3183532369578881,2.1079312629195575,0.038288193817001784,0.47118682830136904,0.0176247257001102,0.619081748215666,0.049928819372334364,True
Mean_Contact_Likert,4.40406976744186,3.939189189189189,0.46488057825267104,2.7529546289074154,0.0074345849378987215,0.6217348034256974,0.12837513563195013,0.801386020873392,0.016727816110272124,True
Mean_Style_Match,4.296511627906977,3.641891891891892,0.6546197360150847,3.497850832646774,0.0008254965625044654,0.7971598286180133,0.2812654591892205,1.027974012840949,0.007429469062540189,True
Overall_Mean,4.426162790697675,3.9689189189189187,0.45724387177875636,3.109229885410636,0.0026391056502702167,0.697571734218443,0.16435263260556526,0.7501351109519474,0.007917316950810651,True
Contact_Binary_Rate,0.8953488372093024,0.777027027027027,0.11832181018227539,2.115629242282843,0.038833526178482285,0.49250120761738403,0.006287512789296915,0.23035610757525388,0.049928819372334364,True
Overall_Helpfulness_Global,4.186046511627907,4.0,0.1860465116279073,1.0339346530480926,0.3048129838725876,0.23590975984867035,-0.17298866407813612,0.5450816873339508,0.3048129838725876,False
Confidence_Global,4.27906976744186,4.0,0.2790697674418601,1.5397352796086885,0.12848754104901722,0.3533568213246545,-0.08291377208030093,0.6410533069640211,0.1445484836801444,False
